	child	parent
725	LP15643-7	LP31419-2
726	LP15644-5	LP31433-3
727	LP15645-2	LP31696-5
728	LP15647-8	LP15505-8
729	LP15648-6	LP18033-8
730	LP15649-4	LP31392-1
731	LP15650-2	LP18033-8
732	LP15651-0	LP31405-1
733	LP15652-8	LP31392-1
734	LP15653-6	LP14669-3
735	LP15654-4	LP31769-0
736	LP15655-1	LP15654-4
737	LP15656-9	LP14671-9
738	LP15657-7	LP14672-7
739	LP15658-5	LP14672-7
740	LP15659-3	LP14672-7
741	LP15660-1	LP14672-7
742	LP15661-9	LP14674-3
743	LP15662-7	LP15664-3
744	LP15663-5	LP15664-3
745	LP15664-3	LP15931-6
746	LP15665-0	LP15623-9
747	LP15665-0	LP14700-6
748	LP15666-8	LP31405-1
749	LP15668-4	LP31742-7
750	LP15669-2	LP20163-9
751	LP15669-2	LP15671-8
752	LP15670-0	LP20163-9
753	LP15671-8	LP31396-2
754	LP15672-6	LP31743-5
755	LP15673-4	LP31689-0
756	LP15673-4	LP7844-6
757	LP15674-2	LP31689-0
758	LP15677-5	LP7786-9
759	LP15677-5	LP7784-4
760	LP15678-3	LP15677-5
761	LP15679-1	LP15678-3
762	LP15680-9	LP15677-5
763	LP15681-7	LP31392-1
764	LP15682-5	LP18033-8
765	LP15683-3	LP31415-0
766	LP15683-3	LP40317-7
767	LP15684-1	LP15954-8
768	LP15685-8	LP31392-1
769	LP15686-6	LP31399-6
770	LP156867-6	LP32515-6
771	LP15688-2	LP32869-7
772	LP15689-0	LP32869-7
773	LP15690-8	LP32869-7
774	LP15691-6	LP32869-7
775	LP15692-4	LP32869-7
776	LP15693-2	LP31399-6
777	LP15694-0	LP14885-5
778	LP15694-0	LP7844-6
779	LP15695-7	LP31392-1
780	LP15696-5	LP15697-3
781	LP15697-3	LP15705-4
782	LP15698-1	LP15704-7
783	LP15699-9	LP18033-8
784	LP156998-9	LP156997-1
785	LP15701-3	LP31392-1
786	LP15701-3	LP40317-7
787	LP157017-7	LP28537-6
788	LP15702-1	LP33085-9
789	LP15703-9	LP15704-7
790	LP15704-7	LP15705-4
791	LP15704-7	LP31624-7
792	LP15705-4	LP7786-9
793	LP15705-4	LP7784-4
794	LP15705-4	LP7851-1
795	LP15707-0	LP31392-1
796	LP15708-8	LP16874-7
797	LP15709-6	LP16874-7
798	LP15710-4	LP16874-7
799	LP157104-3	LP6118-6
800	LP15711-2	LP7786-9
801	LP15712-0	LP31397-0
802	LP15714-6	LP14683-4
803	LP15714-6	LP18578-2
804	LP15715-3	LP14683-4
805	LP157150-6	LP15448-1
806	LP157154-8	LP14635-4
807	LP157155-5	LP14635-4
808	LP157156-3	LP14635-4
809	LP157157-1	LP14635-4
810	LP157158-9	LP15838-3
811	LP157159-7	LP15838-3
812	LP15716-1	LP18033-8
813	LP157160-5	LP15838-3
814	LP15717-9	LP31392-1
815	LP15718-7	LP15355-8
816	LP15719-5	LP14885-5
817	LP15720-3	LP31392-1
818	LP15721-1	LP31406-9
819	LP15722-9	LP18047-8
820	LP15723-7	LP34980-0
821	LP15724-5	LP31412-7
822	LP15727-8	LP14913-5
823	LP157275-1	LP15429-1
824	LP15728-6	LP6118-6
825	LP157285-0	LP32515-6
826	LP15729-4	LP31772-4
827	LP15730-2	LP18033-8
828	LP15731-0	LP31392-1
829	LP15733-6	LP31392-1
830	LP157330-4	LP15905-0
831	LP157331-2	LP15905-0
832	LP157335-3	LP15588-4
833	LP157336-1	LP31415-0
834	LP15734-4	LP31392-1
835	LP157346-0	LP31392-1
836	LP15735-1	LP31395-4
837	LP15736-9	LP31392-1
838	LP15739-3	LP15838-3
839	LP15740-1	LP31406-9
840	LP15742-7	LP31392-1
841	LP157427-8	LP157428-6
842	LP15744-3	LP15838-3
843	LP15745-0	LP31656-9
844	LP15746-8	LP31398-8
845	LP15746-8	LP7840-4
846	LP15748-4	LP15746-8
847	LP157480-7	LP31696-5
848	LP157481-5	LP31696-5
849	LP15749-2	LP36663-0
850	LP157492-2	LP203629-3
851	LP157493-0	LP65679-0
852	LP157497-1	LP157498-9
853	LP157499-7	LP31870-6
854	LP15750-0	LP31415-0
855	LP157503-6	LP31392-1
856	LP15751-8	LP33081-8
857	LP157526-7	LP15670-0
858	LP15753-4	LP18033-8
859	LP157537-4	LP31392-1
860	LP157539-0	LP157540-8
861	LP15754-2	LP31392-1
862	LP15755-9	LP14643-8
863	LP15756-7	LP31405-1
864	LP15757-5	LP201792-1
865	LP15758-3	LP201792-1
866	LP157582-0	LP157581-2
867	LP157583-8	LP63620-6
868	LP157584-6	LP63620-6
869	LP157585-3	LP157727-1
870	LP15759-1	LP31413-5
871	LP15760-9	LP15623-9
872	LP15761-7	LP31415-0
